,Name,Full Ticker,Ticker,P/E Ratio,sector,industry,ticker
2443,Ahsay Backup Software Development Company Limited,SEHK:8290,8290,-18.5989,Technology,Software—Application,8290
2444,Wan Cheng Metal Packaging Company Limited,SEHK:8291,8291,-2.7525,Consumer Cyclical,Packaging & Containers,8291
2445,Worldgate Global Logistics Ltd,SEHK:8292,8292,-2.6895,Industrials,Integrated Freight & Logistics,8292
2446,SingAsia Holdings Limited,SEHK:8293,8293,37.7581,Industrials,Staffing & Employment Services,8293
2447,ZZ Capital International Limited,SEHK:8295,8295,104.036,Financial Services,Capital Markets,8295
2448,Sino-Life Group Limited,SEHK:8296,8296,-51.1313,Consumer Cyclical,Personal Services,8296
2449,My Heart Bodibra Group Limited,SEHK:8297,8297,-16.6557,Consumer Cyclical,Apparel Manufacturing,8297
2450,Grand T G Gold Holdings Limited,SEHK:8299,8299,-1.0326,Basic Materials,Gold,8299
2451,China State Construction Development Holdings Limited,SEHK:830,830,7.1802,Industrials,Engineering & Construction,830
2452,Royal Catering Group Holdings Company Limited,SEHK:8300,8300,-2.0546,Consumer Cyclical,Restaurants,8300
2453,CSOP ETF Series - CSOP CSI 500 ETF,SEHK:83005,83005,,,,83005
2454,Shenzhen Mingwah Aohan High Technology Corporation Limited,SEHK:8301,8301,-0.795,Consumer Defensive,Beverages—Wineries & Distilleries,8301
2455,Haitong MSCI China A ESG ETF,SEHK:83031,83031,,,,83031
2456,Tong Kee (Holding) Limited,SEHK:8305,8305,-6.6511,Industrials,Engineering & Construction,8305
2457,CSOP ETF SERIES - CSOP Hong Kong Dollar Money Market ETF,SEHK:83053,83053,,,,83053
2458,Medicskin Holdings Limited,SEHK:8307,8307,111.4867,Healthcare,Medical Care Facilities,8307
2459,China International Capital Corporation Hong Kong - Bloomberg Barclays China Treasury 1 - 10 years E,SEHK:83079,83079,,,,83079
2460,Gudou Holdings Limited,SEHK:8308,8308,23.0423,Consumer Cyclical,Resorts & Casinos,8308
2461,Value Gold ETF,SEHK:83081,83081,,,,83081
2462,Man Shing Global Holdings Limited,SEHK:8309,8309,1.4267,Industrials,Waste Management,8309
2463,China International Capital Corporation Hong Kong - CSI Select 100 ETF Fund,SEHK:83093,83093,,,,83093
2464,Dafeng Port Heshun Technology Company Limited,SEHK:8310,8310,-0.9421,Industrials,Integrated Freight & Logistics,8310
2465,Perfect Optronics Limited,SEHK:8311,8311,-36.1833,Technology,Electronic Components,8311
2466,Harvest Funds (Hong Kong) ETF - Harvest MSCI China A Index ETF,SEHK:83118,83118,,,,83118
2467,CSOP ETF Series II - CSOP China Ultra Short-Term Bond ETF,SEHK:83122,83122,,,,83122
2468,Global X ETF Series - Global X CSI 300 ETF,SEHK:83127,83127,,,,83127
2469,ZACD Group Ltd.,SEHK:8313,8313,-11.8197,Financial Services,Asset Management,8313
2470,Hang Seng China A Share Etf Series - Hang Seng Harvest Csi 300 Index Etf,SEHK:83130,83130,,,,83130
2471,CSOP ETF Series - CSOP SZSE ChiNext ETF,SEHK:83147,83147,,,,83147
2472,Greatwalle Inc.,SEHK:8315,8315,-4.753,Industrials,Security & Protection Services,8315
2473,Pak Wing Group (Holdings) Limited,SEHK:8316,8316,-12.1533,Industrials,Engineering & Construction,8316
2474,Hang Seng Investment Precious Metals Series - Hang Seng RMB Gold ETF,SEHK:83168,83168,,,,83168
2475,Finet Group Limited,SEHK:8317,8317,-24.2041,Industrials,Specialty Business Services,8317
2476,China Capital Corporation (Hong Kong) Limited - Kraneshares CSI China Internet Index Fund,SEHK:83186,83186,,,,83186
2477,China Asset Management (Hong Kong) Limited - China AMC MSCI China A Inclusion Index ETF,SEHK:83197,83197,,,,83197
2478,Allied Sustainability and Environmental Consultants Group Limited,SEHK:8320,8320,90.2541,Industrials,Waste Management,8320
2479,Tai Kam Holdings Limited,SEHK:8321,8321,-12.8749,Industrials,Engineering & Construction,8321
2480,China Smartpay Group Holdings Limited,SEHK:8325,8325,-0.4781,Industrials,Specialty Business Services,8325
2481,Tonking New Energy Group Holdings Limited,SEHK:8326,8326,-8.8003,Utilities,Utilities—Renewable,8326
2482,Xinyi Electric Storage Holdings Limited,SEHK:8328,8328,185.8833,Consumer Cyclical,Auto Parts,8328
2483,Shenzhen Neptunus Interlong Bio-technique Company Limited,SEHK:8329,8329,7.656000000000001,Healthcare,Drug Manufacturers—Specialty & Generic,8329
2484,Alltronics Holdings Limited,SEHK:833,833,-1.9117,Technology,Electronic Components,833
2485,P.B. Group Limited,SEHK:8331,8331,10.2605,Basic Materials,Other Industrial Metals & Mining,8331
2486,Directel Holdings Limited,SEHK:8337,8337,-0.5121,Communication Services,Telecom Services,8337
2487,China Kangda Food Company Limited,SEHK:834,834,-48.1498,Consumer Defensive,Packaged Foods,834
2488,Vinco Financial Group Limited,SEHK:8340,8340,-7.2977,Financial Services,Capital Markets,8340
2489,Aeso Holding Limited,SEHK:8341,8341,-2.0468,Industrials,Consulting Services,8341
2490,F8 Enterprises (Holdings) Group Limited,SEHK:8347,8347,27.5586,Energy,Oil & Gas Refining & Marketing,8347
2491,Tianjin Binhai TEDA Logistics (Group) Corporation Limited,SEHK:8348,8348,8.0812,Industrials,Integrated Freight & Logistics,8348
2492,MEIGU Technology Holding Group Limited,SEHK:8349,8349,37.9165,Industrials,Building Products & Equipment,8349
2493,Excalibur Global Financial Holdings Limited,SEHK:8350,8350,-7.3002,Financial Services,Capital Markets,8350
2494,Larry Jewelry International Company Limited,SEHK:8351,8351,-0.2826,,Type,8351
2495,Anacle Systems Limited,SEHK:8353,8353,10.5982,Technology,Software—Application,8353
2496,CNC Holdings Limited,SEHK:8356,8356,-0.7818,Industrials,Engineering & Construction,8356
2497,Republic Healthcare Limited,SEHK:8357,8357,-40.0646,Healthcare,Medical Care Facilities,8357
2498,AL Group Limited,SEHK:8360,8360,-0.4325,Industrials,Engineering & Construction,8360
2499,Winning Tower Group Holdings Limited,SEHK:8362,8362,-4.9487,Consumer Defensive,Packaged Foods,8362
2500,SDM Group Holdings Limited,SEHK:8363,8363,-4.7077,Consumer Defensive,Education & Training Services,8363
2501,VBG International Holdings Limited,SEHK:8365,8365,-2.1267,,,8365
2502,Zhejiang United Investment Holdings Group Limited,SEHK:8366,8366,-9.5271,Industrials,Engineering & Construction,8366
2503,Simplicity Holding Limited,SEHK:8367,8367,-14.6221,Consumer Cyclical,Restaurants,8367
2504,Creative China Holdings Limited,SEHK:8368,8368,10.6493,Communication Services,Entertainment,8368
2505,Zhi Sheng Group Holdings Limited,SEHK:8370,8370,-8.8189,Industrials,Business Equipment & Supplies,8370
2506,Indigo Star Holdings Limited,SEHK:8373,8373,-642.9496,Industrials,Engineering & Construction,8373
2507,Vertical International Holdings Limited,SEHK:8375,8375,53.3333,,,8375
2508,Shen You Holdings Limited,SEHK:8377,8377,-5.7298,Consumer Cyclical,Textile Manufacturing,8377
2509,Prime Intelligence Solutions Group Limited,SEHK:8379,8379,-42.6168,Industrials,Security & Protection Services,8379
