,Name,Full Ticker,Ticker,P/E Ratio,sector,industry,ticker
0,Tungtex (Holdings) Company Limited,SEHK:518,518,1.025,Consumer Cyclical,Apparel Manufacturing,518
1,Vision International Holdings Limited,SEHK:8107,8107,29.0089,Consumer Cyclical,Apparel Manufacturing,8107
2,Convenience Retail Asia Limited,SEHK:831,831,2.5475,Consumer Cyclical,Department Stores,831
3,Carpenter Tan Holdings Limited,SEHK:837,837,11.4047,Consumer Cyclical,"Furnishings, Fixtures & Appliances",837
4,PF Group Holdings Limited,SEHK:8221,8221,-15.3226,Financial Services,Capital Markets,8221
5,Left Field Printing Group Limited,SEHK:1540,1540,12.139000000000001,Industrials,Specialty Business Services,1540
6,King's Flair International (Holdings) Limited,SEHK:6822,6822,9.6698,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6822
7,Wasion Holdings Limited,SEHK:3393,3393,9.2585,Industrials,Electrical Equipment & Parts,3393
8,Bright Smart Securities & Commodities Group Limited,SEHK:1428,1428,5.8022,Financial Services,Capital Markets,1428
9,Water Oasis Group Limited,SEHK:1161,1161,5.9885,Consumer Cyclical,Personal Services,1161
10,Speedy Global Holdings Limited,SEHK:540,540,-1.0714,Consumer Cyclical,Apparel Manufacturing,540
11,"China Tianrui Automotive Interiors Co., LTD",SEHK:6162,6162,4.4523,Consumer Cyclical,Auto Parts,6162
12,"Landsea Green Properties Co., Ltd.",SEHK:106,106,2.1336,Real Estate,Real Estate—Development,106
13,CL Group (Holdings) Limited,SEHK:8098,8098,6.0364,Financial Services,Capital Markets,8098
14,Microware Group Limited,SEHK:1985,1985,5.4202,Technology,Information Technology Services,1985
15,Beijing Capital Land Ltd.,SEHK:2868,2868,5.8238,Real Estate,Real Estate—Development,2868
16,Bauhaus International (Holdings) Limited,SEHK:483,483,-2.013,Consumer Cyclical,Apparel Retail,483
17,Tian Chang Group Holdings Ltd.,SEHK:2182,2182,3.8963,Industrials,Conglomerates,2182
18,CNQC International Holdings Limited,SEHK:1240,1240,14.6558,Real Estate,Real Estate—Diversified,1240
19,Kinetic Mines and Energy Limited,SEHK:1277,1277,3.8469,Energy,Thermal Coal,1277
20,"Guangzhou R&F Properties Co., Ltd.",SEHK:2777,2777,3.3829,Real Estate,Real Estate—Development,2777
21,"Yunnan Water Investment Co., Limited",SEHK:6839,6839,46.2294,Utilities,Utilities—Regulated Water,6839
22,Yuzhou Group Holdings Company Limited,SEHK:1628,1628,4.9017,Real Estate,Real Estate—Development,1628
23,China Merchants Land Limited,SEHK:978,978,3.4761,Real Estate,Real Estate—Diversified,978
24,"Zhejiang Expressway Co., Ltd.",SEHK:576,576,9.7675,Industrials,Infrastructure Operations,576
25,Yancoal Australia Ltd,SEHK:3668,3668,4.4652,Energy,Thermal Coal,3668
26,Telecom Digital Holdings Limited,SEHK:6033,6033,8.8479,Consumer Cyclical,Specialty Retail,6033
27,Chu Kong Shipping Enterprises (Group) Company Limited,SEHK:560,560,9.9996,Industrials,Marine Shipping,560
28,"FY Financial (Shenzhen) Co., Ltd.",SEHK:8452,8452,6.6957,Financial Services,Credit Services,8452
29,Central China Real Estate Limited,SEHK:832,832,4.1933,Real Estate,Real Estate—Development,832
30,SFK Construction Holdings Limited,SEHK:1447,1447,-4.0704,Industrials,Engineering & Construction,1447
31,Kowloon Development Company Limited,SEHK:34,34,8.8162,,,34
32,C.P. Pokphand Co. Ltd.,SEHK:43,43,6.2301,,,43
33,Lever Style Corporation,SEHK:1346,1346,51.2139,Consumer Cyclical,Apparel Manufacturing,1346
34,Fountain Set (Holdings) Limited,SEHK:420,420,27.4746,Consumer Cyclical,Textile Manufacturing,420
35,"YiChang HEC ChangJiang Pharmaceutical Co., Ltd.",SEHK:1558,1558,4.2097,Healthcare,Drug Manufacturers—Specialty & Generic,1558
36,Wise Ally International Holdings Limited,SEHK:9918,9918,-24.0513,Technology,Electronic Components,9918
37,"China Dongxiang (Group) Co., Ltd.",SEHK:3818,3818,3.2804,Consumer Cyclical,Apparel Manufacturing,3818
38,Vtech Holdings Limited,SEHK:303,303,10.754000000000001,Technology,Communication Equipment,303
39,China Petroleum & Chemical Corporation,SEHK:386,386,14.3109,Energy,Oil & Gas Integrated,386
40,Beijing North Star Company Limited,SEHK:588,588,19.5112,Real Estate,Real Estate—Development,588
41,Tian Yuan Group Holdings Limited,SEHK:6119,6119,8.3345,Industrials,Marine Shipping,6119
42,Tsaker Chemical Group Limited,SEHK:1986,1986,5.0859,Basic Materials,Specialty Chemicals,1986
43,"Qingling Motors Co., Ltd.",SEHK:1122,1122,14.9075,Industrials,Farm & Heavy Construction Machinery,1122
44,Jingrui Holdings Limited,SEHK:1862,1862,3.2881,Real Estate,Real Estate—Development,1862
45,Great Eagle Holdings Limited,SEHK:41,41,-2.469,,Type,41
46,Road King Infrastructure Limited,SEHK:1098,1098,3.0439999999999996,Consumer Cyclical,Residential Construction,1098
47,Greenland Hong Kong Holdings Limited,SEHK:337,337,2.3592,Real Estate,Real Estate—Development,337
48,LHN Limited,SEHK:1730,1730,3.1512,Real Estate,Real Estate Services,1730
49,Tao Heung Holdings Limited,SEHK:573,573,-20.1986,Consumer Cyclical,Restaurants,573
50,FSE Services Group Limited,SEHK:331,331,5.7986,Industrials,Engineering & Construction,331
51,Shui On Land Limited,SEHK:272,272,-7.9928,Real Estate,Real Estate—Development,272
52,Goldpac Group Limited,SEHK:3315,3315,7.8485,Technology,Software—Infrastructure,3315
53,AAG Energy Holdings Limited,SEHK:2686,2686,4.9791,Utilities,Utilities—Regulated Gas,2686
54,"China Development Bank Financial Leasing Co., Ltd.",SEHK:1606,1606,4.1106,Financial Services,Credit Services,1606
55,Jilin Province Chuncheng Heating Company Limited,SEHK:1853,1853,5.4568,Utilities,Utilities—Independent Power Producers,1853
56,"Harbin Bank Co., Ltd.",SEHK:6138,6138,3.2199,Financial Services,Banks—Regional,6138
57,Zhongliang Holdings Group Company Limited,SEHK:2772,2772,3.9958,Real Estate,Real Estate Services,2772
58,"China Motor Bus Company, Limited",SEHK:26,26,47.3419,,Type,26
59,"Kunming Dianchi Water Treatment Co., Ltd.",SEHK:3768,3768,4.7755,Utilities,Utilities—Regulated Water,3768
60,Perfect Group International Holdings Limited,SEHK:3326,3326,2.5432,Consumer Cyclical,Luxury Goods,3326
61,China Sanjiang Fine Chemicals Company Limited,SEHK:2198,2198,3.7987,Basic Materials,Specialty Chemicals,2198
62,Oriental Watch Holdings Limited,SEHK:398,398,13.4603,Consumer Cyclical,Luxury Goods,398
63,Shenzhen International Holdings Limited,SEHK:152,152,5.2170000000000005,Industrials,Infrastructure Operations,152
64,China Shenhua Energy Company Limited,SEHK:1088,1088,8.8764,Energy,Thermal Coal,1088
65,Global International Credit Group Limited,SEHK:1669,1669,3.1483,Financial Services,Credit Services,1669
66,Trio Industrial Electronics Group Limited,SEHK:1710,1710,31.4037,Industrials,Electrical Equipment & Parts,1710
67,Minmetals Land Limited,SEHK:230,230,16.8366,Real Estate,Real Estate—Development,230
68,Stella International Holdings Limited,SEHK:1836,1836,18.13,Consumer Cyclical,Footwear & Accessories,1836
69,Midea Real Estate Holding Limited,SEHK:3990,3990,3.9269,Real Estate,Real Estate Services,3990
70,Lion Rock Group Limited,SEHK:1127,1127,5.7004,Industrials,Specialty Business Services,1127
71,Vodatel Networks Holdings Limited,SEHK:8033,8033,-14.8727,Technology,Information Technology Services,8033
72,CR Construction Group Holdings Limited,SEHK:1582,1582,5.1172,Industrials,Engineering & Construction,1582
73,"China Minsheng Banking Corp., Ltd.",SEHK:1988,1988,4.8633,Financial Services,Banks—Regional,1988
74,"Poly Property Group Co., Limited",SEHK:119,119,9.7117,Real Estate,Real Estate—Development,119
75,Eagle Nice (International) Holdings Limited,SEHK:2368,2368,8.0201,Consumer Cyclical,Apparel Manufacturing,2368
76,Lippo China Resources Limited,SEHK:156,156,-3.7755,Consumer Defensive,Food Distribution,156
77,Pacific Online Limited,SEHK:543,543,11.3588,Technology,Software—Infrastructure,543
78,G & M Holdings Limited,SEHK:6038,6038,6.9605,Industrials,Engineering & Construction,6038
79,"SINOPEC Engineering (Group) Co., Ltd.",SEHK:2386,2386,6.7154,Industrials,Engineering & Construction,2386
80,China Hanking Holdings Limited,SEHK:3788,3788,6.4374,Basic Materials,Other Industrial Metals & Mining,3788
81,Lonking Holdings Limited,SEHK:3339,3339,6.0208,Industrials,Farm & Heavy Construction Machinery,3339
82,Q P Group Holdings Limited,SEHK:1412,1412,5.5522,Basic Materials,Paper & Paper Products,1412
83,PICC Property and Casualty Company Limited,SEHK:2328,2328,5.2569,Financial Services,Insurance—Property & Casualty,2328
84,Allied Group Limited,SEHK:373,373,7.4452,Financial Services,Credit Services,373
85,West China Cement Limited,SEHK:2233,2233,3.2412,Basic Materials,Building Materials,2233
86,Yorkey Optical International (Cayman) Ltd.,SEHK:2788,2788,17.3029,Technology,Electronic Components,2788
87,"Inner Mongolia Yitai Coal Co.,Ltd.",SEHK:3948,3948,6.0286,Energy,Thermal Coal,3948
88,Dickson Concepts (International) Limited,SEHK:113,113,2.4419,Consumer Cyclical,Luxury Goods,113
89,Design Capital Limited,SEHK:1545,1545,5.4215,Consumer Cyclical,Internet Retail,1545
90,Changmao Biochemical Engineering Company Limited,SEHK:954,954,10.2581,Basic Materials,Chemicals,954
91,China Power International Development Limited,SEHK:2380,2380,9.2629,Utilities,Utilities—Renewable,2380
92,Dalipal Holdings Limited,SEHK:1921,1921,8.11,Energy,Oil & Gas Equipment & Services,1921
93,Agile Group Holdings Limited,SEHK:3383,3383,4.7342,Real Estate,Real Estate—Development,3383
94,Qilu Expressway Company Limited,SEHK:1576,1576,8.2112,Industrials,Infrastructure Operations,1576
95,"Jinshang Bank Co., Ltd.",SEHK:2558,2558,4.6473,Financial Services,Banks—Regional,2558
96,Plover Bay Technologies Limited,SEHK:1523,1523,16.2947,Technology,Communication Equipment,1523
97,"Haitong Unitrust International Financial Leasing Co., Ltd.",SEHK:1905,1905,7.7175,Financial Services,Credit Services,1905
98,Infinity Development Holdings Company Limited,SEHK:640,640,6.1345,Basic Materials,Specialty Chemicals,640
99,China Lilang Limited,SEHK:1234,1234,7.916,Consumer Cyclical,Apparel Manufacturing,1234
100,Wang On Group Limited,SEHK:1222,1222,-29.3463,Real Estate,Real Estate—Diversified,1222
101,Yanzhou Coal Mining Company Limited,SEHK:1171,1171,5.1589,Energy,Thermal Coal,1171
102,APT Satellite Holdings Limited,SEHK:1045,1045,9.9921,Communication Services,Telecom Services,1045
103,Telecom Service One Holdings Limited,SEHK:3997,3997,28.8475,Consumer Cyclical,Personal Services,3997
104,BBMG Corporation,SEHK:2009,2009,10.1398,Basic Materials,Building Materials,2009
105,China Aoyuan Group Limited,SEHK:3883,3883,3.7808,Real Estate,Real Estate—Development,3883
106,AEON Credit Service (Asia) Company Limited,SEHK:900,900,7.1229,Financial Services,Credit Services,900
107,Nameson Holdings Limited,SEHK:1982,1982,8.9642,Consumer Cyclical,Apparel Manufacturing,1982
108,"Modern Land (China) Co., Limited",SEHK:1107,1107,3.1972,Real Estate,Real Estate—Development,1107
109,Herald Holdings Limited,SEHK:114,114,12.1312,Consumer Cyclical,Leisure,114
110,Hung Hing Printing Group Limited,SEHK:450,450,14.5758,Industrials,Specialty Business Services,450
111,Shougang Fushan Resources Group Limited,SEHK:639,639,10.2123,Basic Materials,Coking Coal,639
112,Pacific Textiles Holdings Limited,SEHK:1382,1382,9.8201,Consumer Cyclical,Textile Manufacturing,1382
113,Times China Holdings Limited,SEHK:1233,1233,3.6817,Real Estate,Real Estate—Diversified,1233
114,Henan Jinma Energy Company Limited,SEHK:6885,6885,3.9222,Basic Materials,Coking Coal,6885
115,"Bank of Communications Co., Ltd.",SEHK:3328,3328,4.6736,Financial Services,Banks—Diversified,3328
116,YCIH Green High-Performance Concrete Company Limited,SEHK:1847,1847,3.1559,Basic Materials,Building Materials,1847
117,CITIC Telecom International Holdings Limited,SEHK:1883,1883,9.2782,Communication Services,Telecom Services,1883
118,Joy City Property Limited,SEHK:207,207,7.0557,Real Estate,Real Estate—Diversified,207
119,Tradelink Electronic Commerce Limited,SEHK:536,536,12.3562,Technology,Software—Application,536
120,Wecon Holdings Limited,SEHK:1793,1793,3.9966,Industrials,Engineering & Construction,1793
121,Town Ray Holdings Limited,SEHK:1692,1692,6.7086,Technology,Consumer Electronics,1692
122,China SCE Group Holdings Limited,SEHK:1966,1966,3.1377,Real Estate,Real Estate—Development,1966
123,Bank of China Limited,SEHK:3988,3988,5.1894,Financial Services,Banks—Diversified,3988
124,Most Kwai Chung Limited,SEHK:1716,1716,11.0569,Communication Services,Advertising Agencies,1716
125,Jiashili Group Limited,SEHK:1285,1285,7.1177,Consumer Defensive,Packaged Foods,1285
126,Lung Kee (Bermuda) Holdings Limited,SEHK:255,255,11.6995,Industrials,Metal Fabrication,255
127,"Shandong International Trust Co., Ltd.",SEHK:1697,1697,3.5593,Financial Services,Asset Management,1697
128,KWG Group Holdings Limited,SEHK:1813,1813,4.2041,Real Estate,Real Estate—Development,1813
129,Sun Hung Kai & Co. Limited,SEHK:86,86,3.7803,,,86
130,Chinney Kin Wing Holdings Limited,SEHK:1556,1556,4.6684,Industrials,Engineering & Construction,1556
131,International Housewares Retail Company Limited,SEHK:1373,1373,6.9817,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1373
132,Jilin Jiutai Rural Commercial Bank Corporation Limited,SEHK:6122,6122,8.1455,Financial Services,Banks—Regional,6122
133,Regal Real Estate Investment Trust,SEHK:1881,1881,-1.3164,Real Estate,REIT—Hotel & Motel,1881
134,Golden Throat Holdings Group Company Limited,SEHK:6896,6896,7.0899,Healthcare,Drug Manufacturers—Specialty & Generic,6896
135,"Cisco Systems, Inc.",SEHK:4333,4333,18.9728,Technology,Communication Equipment,4333
136,Huadian Power International Corporation Limited,SEHK:1071,1071,6.497999999999999,Utilities,Utilities—Diversified,1071
137,Wai Kee Holdings Limited,SEHK:610,610,2.6775,Industrials,Engineering & Construction,610
138,DCB Holdings Limited,SEHK:8040,8040,-8.8594,,,8040
139,Sunray Engineering Group Limited,SEHK:8616,8616,7.8016,Industrials,Engineering & Construction,8616
140,"Chongqing Rural Commercial Bank Co., Ltd.",SEHK:3618,3618,5.0925,Financial Services,Banks—Regional,3618
141,Shenzhen Expressway Company Limited,SEHK:548,548,17.5923,Industrials,Infrastructure Operations,548
142,"Sichuan Energy Investment Development Co., Ltd.",SEHK:1713,1713,5.7967,Utilities,Utilities—Renewable,1713
143,Asia Cement (China) Holdings Corporation,SEHK:743,743,3.7825,Basic Materials,Building Materials,743
144,"Qinhuangdao Port Co., Ltd.",SEHK:3369,3369,12.8549,Industrials,Marine Shipping,3369
145,Logan Group Company Limited,SEHK:3380,3380,4.5386,Real Estate,Real Estate—Development,3380
146,Public Financial Holdings Limited,SEHK:626,626,5.7524,Financial Services,Banks—Regional,626
147,"China Cinda Asset Management Co., Ltd.",SEHK:1359,1359,5.6811,Financial Services,Asset Management,1359
148,JNBY Design Limited,SEHK:3306,3306,12.0488,Consumer Cyclical,Apparel Manufacturing,3306
149,S.A.S. Dragon Holdings Limited,SEHK:1184,1184,7.0119,Technology,Electronic Components,1184
150,Beijing Capital International Airport Company Limited,SEHK:694,694,-42.0712,Industrials,Airports & Air Services,694
151,China CITIC Bank Corporation Limited,SEHK:998,998,4.6876,Financial Services,Banks—Regional,998
152,Liu Chong Hing Investment Limited,SEHK:194,194,19.7439,Real Estate,Real Estate—Development,194
153,Agricultural Bank of China Limited,SEHK:1288,1288,5.66,Financial Services,Banks—Diversified,1288
154,CNOOC Limited,SEHK:883,883,8.9076,Energy,Oil & Gas E&P,883
155,Golden Ponder Holdings Limited,SEHK:1783,1783,-19.4819,Industrials,Engineering & Construction,1783
156,PCCW Limited,SEHK:8,8,-34.5086,,Type,8
157,"China Zheshang Bank Co., Ltd",SEHK:2016,2016,7.5793,Financial Services,Banks—Regional,2016
158,Xtrackers - MSCI Russia Capped Swap UCITS ETF,SEHK:3027,3027,,,,3027
159,Greatview Aseptic Packaging Company Limited,SEHK:468,468,13.8551,Consumer Cyclical,Packaging & Containers,468
160,"Beijing Urban Construction Design & Development Group Co., Limited",SEHK:1599,1599,3.2426,Industrials,Engineering & Construction,1599
161,"CIMC Vehicles (Group) Co., Ltd.",SEHK:1839,1839,9.3745,Industrials,Farm & Heavy Construction Machinery,1839
162,APAC Resources Limited,SEHK:1104,1104,-3.8889,Financial Services,Capital Markets,1104
163,China Everbright Bank Company Limited,SEHK:6818,6818,5.9151,Financial Services,Banks—Regional,6818
164,China Jinmao Holdings Group Limited,SEHK:817,817,5.3967,Real Estate,Real Estate—Development,817
165,Xingda International Holdings Limited,SEHK:1899,1899,11.993,Consumer Cyclical,Auto Parts,1899
166,Sino Harbour Holdings Group Limited,SEHK:1663,1663,4.3355,Real Estate,Real Estate Services,1663
167,Yuexiu Transport Infrastructure Limited,SEHK:1052,1052,35.9247,Industrials,Infrastructure Operations,1052
168,Shun Tak Holdings Limited,SEHK:242,242,-34.1398,Real Estate,Real Estate—Diversified,242
169,Hong Kong Economic Times Holdings Limited,SEHK:423,423,16.19,Communication Services,Publishing,423
170,The People's Insurance Company (Group) of China Limited,SEHK:1339,1339,4.6624,Financial Services,Insurance—Property & Casualty,1339
171,Prosperity Real Estate Investment Trust,SEHK:808,808,-9.8077,Real Estate,REIT—Diversified,808
172,Sinopec Shanghai Petrochemical Company Limited,SEHK:338,338,-335.4353,Energy,Oil & Gas Refining & Marketing,338
173,Beijing Jingkelong Company Limited,SEHK:814,814,7.2747,Consumer Cyclical,Specialty Retail,814
174,Far East Consortium International Limited,SEHK:35,35,9690.2674,,,35
175,China Railway Signal & Communication Corporation Limited,SEHK:3969,3969,16.1869,Industrials,Railroads,3969
176,Goldlion Holdings Limited,SEHK:533,533,8.8567,Consumer Cyclical,Apparel Manufacturing,533
177,"Datang International Power Generation Co., Ltd.",SEHK:991,991,15.255999999999998,Utilities,Utilities—Independent Power Producers,991
178,Sinopec Kantons Holdings Limited,SEHK:934,934,6.5571,Energy,Oil & Gas Midstream,934
179,Media Chinese International Limited,SEHK:685,685,-18.1713,Communication Services,Publishing,685
180,Shenzhen Investment Holdings Bay Area Development Company Limited,SEHK:737,737,44.1474,Industrials,Infrastructure Operations,737
181,Hanison Construction Holdings Limited,SEHK:896,896,6.6968,Industrials,Engineering & Construction,896
182,Shenzhen Investment Holdings Bay Area Development Company Limited,SEHK:80737,80737,44.1474,Industrials,Infrastructure Operations,80737
183,Rivera (Holdings) Limited,SEHK:281,281,55.6926,Financial Services,Capital Markets,281
184,BAIC Motor Corporation Limited,SEHK:1958,1958,9.3761,Consumer Cyclical,Auto Manufacturers,1958
185,HKT Trust and HKT Limited,SEHK:6823,6823,15.0499,Communication Services,Telecom Services,6823
186,HKBN Ltd.,SEHK:1310,1310,151.9811,Communication Services,Telecom Services,1310
187,Gemdale Properties and Investment Corporation Limited,SEHK:535,535,3.9115,Real Estate,Real Estate—Diversified,535
188,Fortune Real Estate Investment Trust,SEHK:778,778,-4.5767,Real Estate,REIT—Retail,778
189,Transport International Holdings Limited,SEHK:62,62,27.7775,,,62
190,NWS Holdings Limited,SEHK:659,659,140.5662,Industrials,Engineering & Construction,659
191,Shanghai Industrial Holdings Limited,SEHK:363,363,5.7819,Industrials,Conglomerates,363
192,Spring Real Estate Investment Trust,SEHK:1426,1426,-17.419,Real Estate,REIT—Office,1426
193,China Resources Cement Holdings Limited,SEHK:1313,1313,6.3486,Basic Materials,Building Materials,1313
194,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",SEHK:517,517,12.0296,Industrials,Marine Shipping,517
195,"Guangzhou Rural Commercial Bank Co., Ltd.",SEHK:1551,1551,4.2176,Financial Services,Banks—Regional,1551
196,ST International Holdings Company Limited,SEHK:8521,8521,6.0098,Consumer Cyclical,Textile Manufacturing,8521
197,"Xinhua Winshare Publishing and Media Co., Ltd.",SEHK:811,811,7.6495,Communication Services,Publishing,811
198,China Communications Construction Company Limited,SEHK:1800,1800,6.8752,Industrials,Engineering & Construction,1800
199,KML Technology Group Limited,SEHK:8065,8065,3.3548,Industrials,Infrastructure Operations,8065
200,Power Assets Holdings Limited,SEHK:6,6,16.6489,,Type,6
201,Sunlight Real Estate Investment Trust,SEHK:435,435,-6.8637,Real Estate,REIT—Diversified,435
202,Hui Xian Real Estate Investment Trust,SEHK:87001,87001,-6.8805,Real Estate,REIT—Diversified,87001
203,China Merchants Port Holdings Company Limited,SEHK:144,144,12.8501,Industrials,Marine Shipping,144
204,Sun Hing Printing Holdings Limited,SEHK:1975,1975,8.3307,Industrials,Specialty Business Services,1975
205,Nanfang Communication Holdings Limited,SEHK:1617,1617,-20.4287,Technology,Communication Equipment,1617
206,Huishang Bank Corporation Limited,SEHK:3698,3698,3.1837,Financial Services,Banks—Regional,3698
207,Wang On Properties Limited,SEHK:1243,1243,-33.0343,Real Estate,Real Estate—Development,1243
208,Fosun International Limited,SEHK:656,656,9.0966,Industrials,Conglomerates,656
209,China VAST Industrial Urban Development Company Limited,SEHK:6166,6166,6.5031,Real Estate,Real Estate—Development,6166
210,CSSC (Hong Kong) Shipping Company Limited,SEHK:3877,3877,7.8673,Industrials,Rental & Leasing Services,3877
211,Wing Tai Properties Limited,SEHK:369,369,-12.5439,Real Estate,Real Estate—Development,369
212,Hong Kong Finance Group Limited,SEHK:1273,1273,2.8407,Financial Services,Mortgage Finance,1273
213,Yue Yuen Industrial (Holdings) Limited,SEHK:551,551,-42.6013,Consumer Cyclical,Footwear & Accessories,551
214,BOCOM International Holdings Company Limited,SEHK:3329,3329,7.1549,Financial Services,Financial Conglomerates,3329
215,Country Garden Holdings Company Limited,SEHK:2007,2007,4.5821,Real Estate,Real Estate—Development,2007
216,Powerlong Real Estate Holdings Limited,SEHK:1238,1238,4.4945,Real Estate,Real Estate—Development,1238
217,Hang Chi Holdings Limited,SEHK:8405,8405,9.5067,Healthcare,Medical Care Facilities,8405
218,China Resources Power Holdings Company Limited,SEHK:836,836,6.1846,Utilities,Utilities—Independent Power Producers,836
219,Glorious Sun Enterprises Limited,SEHK:393,393,14.2296,Consumer Cyclical,Apparel Manufacturing,393
220,China Overseas Grand Oceans Group Limited,SEHK:81,81,3.3082,,Type,81
221,Pacific Millennium Packaging Group Corporation,SEHK:1820,1820,18.4346,Consumer Cyclical,Packaging & Containers,1820
222,Sunwah Kingsway Capital Holdings Limited,SEHK:188,188,-11.328,Financial Services,Capital Markets,188
223,Kato (Hong Kong) Holdings Limited,SEHK:2189,2189,9.7127,Healthcare,Medical Care Facilities,2189
224,China Shineway Pharmaceutical Group Limited,SEHK:2877,2877,7.5505,Healthcare,Drug Manufacturers—Specialty & Generic,2877
225,Sichuan Expressway Company Limited,SEHK:107,107,35.4281,Industrials,Infrastructure Operations,107
226,Karrie International Holdings Limited,SEHK:1050,1050,10.0395,Industrials,Metal Fabrication,1050
227,Time Interconnect Technology Limited,SEHK:1729,1729,5.4479999999999995,Industrials,Electrical Equipment & Parts,1729
228,Justin Allen Holdings Limited,SEHK:1425,1425,6.5438,Consumer Cyclical,Apparel Manufacturing,1425
229,Wah Ha Realty Company Limited,SEHK:278,278,-12.5872,Real Estate,Real Estate Services,278
230,Lee & Man Chemical Company Limited,SEHK:746,746,6.697,Basic Materials,Chemicals,746
231,Yuexiu Property Company Limited,SEHK:123,123,6.2513,Real Estate,Real Estate—Development,123
232,"Chengdu Expressway Co., Ltd.",SEHK:1785,1785,10.8842,Industrials,Infrastructure Operations,1785
233,"Luzhou Xinglu Water (Group) Co., Ltd.",SEHK:2281,2281,3.9446,Utilities,Utilities—Regulated Water,2281
234,Puxing Energy Limited,SEHK:90,90,4.3665,,,90
235,PetroChina Company Limited,SEHK:857,857,41.5888,Energy,Oil & Gas Integrated,857
236,"Bank of Tianjin Co., Ltd.",SEHK:1578,1578,4.0295,Financial Services,Banks—Regional,1578
237,Bamboos Health Care Holdings Limited,SEHK:2293,2293,10.1471,Healthcare,Medical Care Facilities,2293
238,Hong Kong Ferry (Holdings) Company Limited,SEHK:50,50,33.3279,,Type,50
239,Carrianna Group Holdings Company Limited,SEHK:126,126,12.5954,Consumer Cyclical,Restaurants,126
240,China Everbright Environment Group Limited,SEHK:257,257,5.0226,Industrials,Waste Management,257
241,Shimao Group Holdings Limited,SEHK:813,813,7.0488,Real Estate,Real Estate—Development,813
242,Golden Eagle Retail Group Limited,SEHK:3308,3308,11.2769,Consumer Cyclical,Department Stores,3308
243,China State Construction International Holdings Limited,SEHK:3311,3311,4.9809,Industrials,Engineering & Construction,3311
244,Yip's Chemical Holdings Limited,SEHK:408,408,7.3665,Basic Materials,Specialty Chemicals,408
245,Polytec Asset Holdings Limited,SEHK:208,208,92.9733,Real Estate,Real Estate—Development,208
246,CITIC Limited,SEHK:267,267,4.1611,Industrials,Conglomerates,267
247,Shenguan Holdings (Group) Limited,SEHK:829,829,12.8421,Consumer Defensive,Packaged Foods,829
248,China Suntien Green Energy Corporation Limited,SEHK:956,956,15.2289,Utilities,Utilities—Diversified,956
249,China Oriental Group Company Limited,SEHK:581,581,3.4208,Basic Materials,Steel,581
250,China Electronics Optics Valley Union Holding Company Limited,SEHK:798,798,4.8461,Real Estate,Real Estate Services,798
251,Grand Brilliance Group Holdings Limited,SEHK:8372,8372,6.4812,Healthcare,Medical Distribution,8372
252,Centurion Corporation Limited,SEHK:6090,6090,2.8741,Consumer Cyclical,Lodging,6090
253,China Mobile Limited,SEHK:941,941,8.7752,Communication Services,Telecom Services,941
254,Allan International Holdings Limited,SEHK:684,684,-12926.4239,Technology,Consumer Electronics,684
255,Want Want China Holdings Limited,SEHK:151,151,14.5828,Consumer Defensive,Packaged Foods,151
256,C&D International Investment Group Limited,SEHK:1908,1908,8.2319,Real Estate,Real Estate—Diversified,1908
257,Red Star Macalline Group Corporation Ltd.,SEHK:1528,1528,13.1243,Real Estate,Real Estate Services,1528
258,Shoucheng Holdings Limited,SEHK:697,697,25.3201,Industrials,Infrastructure Operations,697
259,Yuexiu Real Estate Investment Trust,SEHK:405,405,309.91900000000004,Real Estate,REIT—Diversified,405
260,Industrial and Commercial Bank of China Limited,SEHK:1398,1398,6.3092,Financial Services,Banks—Diversified,1398
261,China Construction Bank Corporation,SEHK:939,939,5.5145,Financial Services,Banks—Diversified,939
262,"Huaneng Power International, Inc.",SEHK:902,902,11.8962,Utilities,Utilities—Independent Power Producers,902
263,Le Saunda Holdings Limited,SEHK:738,738,-7.9658,Consumer Cyclical,Footwear & Accessories,738
264,BOC Hong Kong (Holdings) Limited,SEHK:2388,2388,8.9998,Financial Services,Banks—Regional,2388
265,Kingdom Holdings Limited,SEHK:528,528,8.6283,Consumer Cyclical,Textile Manufacturing,528
266,Cabbeen Fashion Limited,SEHK:2030,2030,7.3078,Consumer Cyclical,Apparel Manufacturing,2030
267,Champion Real Estate Investment Trust,SEHK:2778,2778,-2.1551,Real Estate,REIT—Retail,2778
268,Oi Wah Pawnshop Credit Holdings Limited,SEHK:1319,1319,5.6911,Financial Services,Mortgage Finance,1319
269,China Reinsurance (Group) Corporation,SEHK:1508,1508,5.8541,Financial Services,Insurance—Reinsurance,1508
270,First Pacific Company Limited,SEHK:142,142,-301.9879,Consumer Defensive,Packaged Foods,142
271,Mainland Headwear Holdings Limited,SEHK:1100,1100,19.6251,Consumer Cyclical,Footwear & Accessories,1100
272,Ajisen (China) Holdings Limited,SEHK:538,538,-30.7983,Consumer Cyclical,Restaurants,538
273,AV Concept Holdings Limited,SEHK:595,595,4.0965,Technology,Electronics & Computer Distribution,595
274,Jiangsu Expressway Company Limited,SEHK:177,177,17.783,Industrials,Infrastructure Operations,177
